address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
2601 S. McKenzie St,Tanger Outlets/Foley,,,,Foley,,,US,,,,,30.37572,-87.679955,,1-251-943-5100,,AL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,29,,59,36535
6200 Grand River Blvd. E Suite 310,Outlet Shops of Grand River,,,,Leeds,,,US,,,,,33.5497158,-86.5961329,,1-205-699-1622,,AL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,92,,152,35094
"4976 Premium Outlets Way, Suite 826",Phoenix Premium Outlets,,,,Chandler,,,US,,,,,33.2867764,-111.9730479,,1-480-639-1703,,AZ,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,106,,161,85226
"6800 N. 95th Ave, Suite 840",Tanger Outlets/Westgate,,,,Glendale,,,US,,,,,33.535425,-112.2673688,,1-623-877-9553,,AZ,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,102,,160,85305
48750 Seminole Drive Suite 107,Cabazon Outlets,,,,Cabazon,,,US,,,,,33.9252914,-116.810667,,1-951-849-2003,,CA,"Sun-Thurs 11am-6pm
Fri-Sat 11am-7pm",Jockey Outlet,41,,77,92230
990 Camarillo Center Dr,Camarillo Premium Outlets,,,,Camarillo,,,US,,,,,34.2147347,-119.0572673,,1-805-482-6261,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,64,,113,93010
"5600 Paseo Del Norte, Suite A 119",Carlsbad Premium Outlets,,,,Carlsbad,,,US,,,,,33.1269372,-117.3219799,,1-760-268-0180,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,104,,125,92008
"8300 Arroyo Circle, Suite B-200",Gilroy Premium Outlets,,,,Gilroy,,,US,,,,,37.0216699,-121.5606372,,1-408-847-5666,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,6,,19,95020
28200 Hwy 189,Lake Arrowhead Village,,,,Lake Arrowhead,,,US,,,,,34.248878,-117.189781,,1-909-337-8813,,CA,"Monday to Friday- 10:00am-5:30pm,Saturday- 10:00am-5:30pm,Sunday- 11:00am-5:00pm",Jockey Outlet,23,,52,92352
"333 Five Cities Dr, Suite 116", Pismo Beach Premium Outlets,,,,Pismo Beach,,,US,,,,,35.1354775,-120.627858,,1-805-773-8756,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,37,,73,93449
101 W Avenida Vista Hermosa Suite 530,Outlets at San Clemente,,,,San Clemente,,,US,,,,,33.4395379,-117.6279999,,1-949-498-2393,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlets,123,,173,92672
131 Nut Tree Rd Suite K,Vacaville Premium Outlets,,,,Vacaville,,,US,,,,,38.36651,-121.957178,,1-707-451-8119,,CA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,7,,20,95687
5050 Factory Shop Blvd Suite 150,Outlets at Castle Rock,,,,Castle Rock,,,US,,,,,39.4156625,-104.8734005,,1-303-660-0880,,CO,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,108,,28,80108
125B Stephens Way,Outlets at Silverthorne,,,,Silverthorne,,,US,,,,,39.6272838,-106.0674163,,1-970-262-1643,,CO,"Monday to Friday- 12:00am-5:30pm,Saturday- 11:00am-6:00pm,Sunday- 11:00pm-6:00pm",Jockey Outlet,19,,39,80498
"36494 Seaside Drive, Suite 1445",Tanger Outlets/Rehoboth,,,,Rehoboth Beach,,,US,,,,,38.5633653,-75.0969495,,1-302-227-4255,,DE,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,8,,21,19971
"10406 Emerald Coast Parkway W., Suite 86B",Silver Sands Premium Outlets,,,,Destin,,,US,,,,,30.3880836,-86.4454117,,1-850-650-2909,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,52,,94,32541
5225 Factory Shop Blvd.,Ellenton Premium Outlets,,,,Ellenton,,,US,,,,,27.5353387,-82.509311,,1-941-722-3166,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,12,,26,34222
"10801 Corkscrew Road, Suite 310",Miromar Outlets,,,,Estero,,,US,,,,,26.4363567,-81.7783144,,1-239-390-0660,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,71,,124,33928
20350 Summerlin Road,Sanibel Outlets ,,,,Ft. Myers,,,US,,,,,26.494744,-81.9735109,,1-239-454-7977,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,20,,42,33908
15765 State Road 535,Lake Buena Vista Factory Stores,,,,Orlando,,,US,,,,,28.34937,-81.48964,,1-407-605-0477,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,129,,176,32821
2700 Florida 16 #501,St. Augustine Premium Outlets,,,,St. Augustine,,,US,,,,,29.924724,-81.417367,,1-904-826-0337,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,4,,15,32092
2382 Grand Cypress Drive,Tampa Premium Outlets,,,,Tampa,,,US,,,,,28.1902954,-82.39085050000001,,1-813-949-7628,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,124,,172,33559
1716 94th Drive Suite G-120,Vero Beach Outlets,,,,Vero Beach,,,US,,,,,27.6368315,-80.5220547,,1-772-562-5304,,FL,"Monday to Friday- 11:00am-6:00pm,Saturday- 11:00am-6:00pm,Sunday- 11:00am-6:00pm",Jockey Outlet,32,,65,32966
"1781 Palm Beach Lakes Blvd, Suite W217",Palm Beach Outlets,,,,West Palm Beach,,,US,,,,,26.725188,-80.0878268,,1-561-689-7646,,FL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,114,,166,33401
1000 Tanger Drive,Tanger Outlets/Locust Grove,,,,Locust Grove,,,US,,,,,33.3483423,-84.1223333,,1-770-914-8787,,GA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 11:00am-7:00pm",Jockey Outlet,47,,88,30248
"915 Ridgewalk Parkway, Suite E-525",Outlet Shoppes at Atlanta,,,,Woodstock,,,US,,,,,34.1201285,-84.526504,,1-678-445-8156,,GA,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,109,,162,30188
"1650 Premium Outlets Blvd, Suite 641",Chicago Premium Outlets,,,,Aurora,,,US,,,,,41.8003748,-88.27394509999999,,1-630-862-2970,,IL,"Monday to Friday- 11:00am-7:00pm,Saturday- 11:00am-7:00pm,Sunday- 12:00pm-6:00pm",Jockey Outlet,85,,143,60502
