Company,Symbol,Exchange,Price Range,Shares,Week Of,Date Retrieved,Category,Link
,,,,,,2020-07-15,Recently Priced,
Artius Acquisition,AACQU ,Nasdaq,$10.00,52500000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/aacqu?mod=mw_ipocalendar
D8 Holdings,DEH.U ,NYSE,$10.00,25000000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/deh.u?mod=mw_ipocalendar
GoHealth,GOCO ,Nasdaq,$21.00,39500000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/goco?mod=mw_ipocalendar
Malacca Straits Acquisition,MLACU ,Nasdaq,$10.00,12500000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/mlacu?mod=mw_ipocalendar
nCino,NCNO ,Nasdaq,$31.00,7625000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/ncno?mod=mw_ipocalendar
PTK Acquisition,PTK.U ,NYSE American,$10.00,10000000,2020-07-13 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/ptk.u?mod=mw_ipocalendar
BlueCity Holdings,BLCT ,Nasdaq,$16.00,5300000,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/blct?mod=mw_ipocalendar
Inventiva,IVA ,Nasdaq,$14.40,7478261,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/iva?mod=mw_ipocalendar
Nkarta,NKTX ,Nasdaq,$18.00,13000000,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/nktx?mod=mw_ipocalendar
Poseida Therapeutics,PSTX ,Nasdaq,$16.00,14000000,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/pstx?mod=mw_ipocalendar
Quhuo,QH ,Nasdaq,$10.00,2700000,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/qh?mod=mw_ipocalendar
Therapeutics Acquisition,TXAC ,Nasdaq,$10.00,10000000,2020-07-06 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/txac?mod=mw_ipocalendar
Accolade,ACCD ,Nasdaq,$22.00,8750000,2020-06-29 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/accd?mod=mw_ipocalendar
Capstar Special Purpose Acquisition,CPSRU ,NYSE,$10.00,20000000,2020-06-29 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/cpsru?mod=mw_ipocalendar
Dun & Bradstreet Holdings,DNB ,NYSE,$22.00,65750000,2020-06-29 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/dnb?mod=mw_ipocalendar
GS Acquisition Holdings II,GSAH.U ,NYSE,$10.00,70000000,2020-06-29 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/gsah.u?mod=mw_ipocalendar
Lemonade,LMND ,NYSE,$29.00,11000000,2020-06-29 00:00:00,2020-07-15,Recently Priced,https://www.marketwatch.com/investing/stock/lmnd?mod=mw_ipocalendar
Panacea Acquisition,PANAU ,NYSE,$10.00,12500000,2020-06-29 00:00:00,2020-07-15,Recently Priced,
,,,,,,2020-07-15,Upcoming Ipos,
ACell,ACLL,Nasdaq,$14.00 - $16.00,5000000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/acll/ipo?mod=mw_ipocalendar
ALX Oncology,ALXO,Nasdaq,$15.00 - $17.00,8000000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/alxo/ipo?mod=mw_ipocalendar
Berkeley Lights,BLI,Nasdaq,$16.00 - $18.00,7400000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/bli/ipo?mod=mw_ipocalendar
HPX Corp.,HPX.U,NYSE,$10.00,20000000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/hpx.u/ipo?mod=mw_ipocalendar
Pandion Therapeutics,PAND,Nasdaq,$16.00 - $18.00,5500000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/pand/ipo?mod=mw_ipocalendar
Relay Therapeutics,RLAY,Nasdaq,$18.00 - $19.00,20000000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/rlay/ipo?mod=mw_ipocalendar
Renalytix AI,RNLX,Nasdaq,$14.22,5500000,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/rnlx/ipo?mod=mw_ipocalendar
Trean Insurance Group,TIG,Nasdaq,$13.00 - $15.00,10714286,2020-07-13 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/tig/ipo?mod=mw_ipocalendar
,,,,,,2020-07-15,Upcoming Ipos,
Harbor Custom Development,HCDI,NYSE American,$6.00 - $8.00,2142857,2020-07-20 00:00:00,2020-07-15,Upcoming Ipos,https://www.marketwatch.com/investing/stock/hcdi/ipo?mod=mw_ipocalendar
