address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
810 US 27 S,,,,,Avon Park,,,,,,,,27.58789,-81.51457,,863-453-2400,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Avon Park Rent King,,,,33825
6107 SR 54,,,,,New Port Richey,,,,,,,,28.218555,-82.713776,,727-846-7400,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",New Port Richey Rent King,,,,34653
6384 66th Street N.,,,,,Pinellas Park,,,,,,,,27.829819,-82.72896,,727-548-6700,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Pinellas Park Rent King,,,,33781
7523 W. Hillsborough Ave.,,,,,Tampa,,,,,,,,27.998325,-82.56354,,813-889-9710,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Town N Country Rent King,,,,33615
2267 E. Bearss Ave.,,,,,Tampa,,,,,,,,28.081621,-82.4329,,813-910-4200,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",North Tampa Rent King,,,,33613
11902 Seminole Blvd.,,,,,Largo,,,,,,,,27.8804,-82.78874,,727-559-0559,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Largo Rent King,,,,33778
2610 US Hwy 92 East,,,,,Lakeland,,,,,,,,28.049204,-81.90769,,863-802-1928,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Lakeland Rent King,,,,33801
500 E. Hinson Avenue,,,,,Haines City,,,,,,,,28.106955,-81.627014,,863-419-1111,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Haines City Rent King,,,,33844
1109 U.S. Hwy 17 South,,,,,Wauchula,,,,,,,,27.561504,-81.81487,,863-773-4009,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Wauchula Rent King,,,,33873
1960 SR 60 East,,,,,Lake Wales,,,,,,,,27.892109,-81.5578,,863-678-1929,,FL,"Wed: 11:00 AM - 7:00 PM, Thu: 11:00 AM - 7:00 PM, Fri: 11:00 AM - 7:00 PM, Sat: 10:00 AM - 6:00 PM, Sun: Closed, Mon: 11:00 AM - 7:00 PM, Tue: 11:00 AM - 7:00 PM",Lake Wales Rent King,,,,33853
