address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
4415 Skyline Dr.,,,,,Burnaby,,,Canada,,,,,49.265134,-123.004235,,(604) 564-1393,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 08:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Skyline Drive (Café),602,,,V5C 5Y1
2350 Boundary Road (Accent Inn),,,,,Burnaby,,,Canada,,,,,49.2644334,-123.0244843,,(604) 293-1242,,BC,"Mon: 07:30 am-08:00 pm, Tue: 07:30 am-08:00 pm, Wed: 07:30 am-08:00 pm, Thu: 07:30 am-08:00 pm, Fri: 07:30 am-08:00 pm, Sat: 07:30 am-08:00 pm, Sun: 07:30 am-08:00 pm",Boundary Road (Country),486,,,V5M 3Z3
116 - 1090 Lougheed Highway,,,,,Coquitlam,,,V3K 6G9,,,,,49.234637,-122.862858,,(604) 553-3828,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Lougheed,554,,,
Unit 2660 2929 Barnet Hwy,,,,,Coquitlam,,,Canada,,,,,49.278461,-122.798542,,(778) 941-2907,,BC,"Mon: 09:00 am-06:00 pm, Tue: 09:00 am-06:00 pm, Wed: 09:00 am-06:00 pm, Thu: 09:00 am-06:00 pm, Fri: 09:00 am-06:00 pm, Sat: 09:00 am-06:00 pm, Sun: 09:00 am-06:00 pm",Coquitlam Centre (Café),504,,,V3B 5R5
1076 Central City,,,,,Surrey,,,Canada,,,,,49.189999,-122.830000,,(604) 582-2545,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Central City,496,,,V3T 2W1
7135 120th St.,,,,,Surrey,,,Canada,,,,,49.133323,-122.890457,,(604) 599-1784,,BC,"Mon: 08:00 am-08:00 pm, Tue: 08:00 am-08:00 pm, Wed: 08:00 am-08:00 pm, Thu: 08:00 am-08:00 pm, Fri: 08:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 08:00 am-08:00 pm",Scottsdale,608,,,V4E 2A9
8958 152nd St,,,,,Surrey,,,Canada,,,,,49.165560,-122.801398,,(604) 581-3212,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 08:00 am-08:00 pm",Evergreen,518,,,V3R 4E7
5239 Ladner Trunk Rd,,,,,Ladner,,,Canada,,,,,49.090245,-123.077004,,(604) 940-0833,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Ladner,538,,,V4K 1W4
17830 56th Ave,,,,,Cloverdale,,,Canada,,,,,49.104133,-122.728337,,(604) 574-9912,,BC,"Mon: 08:00 am-08:00 pm, Tue: 08:00 am-08:00 pm, Wed: 08:00 am-08:00 pm, Thu: 08:00 am-08:00 pm, Fri: 08:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 08:00 am-08:00 pm",Cloverdale,502,,,V3S 1C7
"#101, 20110 Lougheed Highway",,,,,Maple Ridge,,,Canada,,,,,49.217475,-122.638777,,(604) 465-1261,,BC,"Mon: 09:00 am-07:00 pm, Tue: 09:00 am-07:00 pm, Wed: 09:00 am-07:00 pm, Thu: 09:00 am-07:00 pm, Fri: 08:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 08:00 am-07:00 pm",Maple Ridge (Country),556,,,V2X 2P7
8720 204 Street,,,,,Langley,,,Canada,,,,,49.161877,-122.656918,,(604) 888-4211,,BC,"Mon: 07:00 am-08:00 pm, Tue: 07:00 am-08:00 pm, Wed: 07:00 am-08:00 pm, Thu: 07:00 am-08:00 pm, Fri: 07:00 am-08:00 pm, Sat: 07:00 am-08:00 pm, Sun: 08:00 am-08:00 pm",Walnut Grove,633,,,V1M 2Y5
2160 King George Blvd.,,,,,Surrey,,,Canada,,,,,49.040942,-122.787861,,(604) 531-2635,,BC,"Mon: 08:00 am-07:00 pm, Tue: 08:00 am-07:00 pm, Wed: 08:00 am-07:00 pm, Thu: 08:00 am-07:00 pm, Fri: 08:00 am-07:00 pm, Sat: 08:00 am-07:00 pm, Sun: 08:00 am-07:00 pm",White Rock,637,,,V4A 5A2
Unit 101 20125 64th Ave,,,,,Langley,,,Canada,,,,,49.119443,-122.665085,,(604) 533-8911,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Willowbrook,641,,,V2Y 1M9
address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
4415 Skyline Dr.,,,,,Burnaby,,,Canada,,,,,49.265134,-123.004235,,(604) 564-1393,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 08:00 am-08:00 pm, Sat: 08:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Skyline Drive (Café),602,,,V5C 5Y1
2350 Boundary Road (Accent Inn),,,,,Burnaby,,,Canada,,,,,49.2644334,-123.0244843,,(604) 293-1242,,BC,"Mon: 07:30 am-08:00 pm, Tue: 07:30 am-08:00 pm, Wed: 07:30 am-08:00 pm, Thu: 07:30 am-08:00 pm, Fri: 07:30 am-08:00 pm, Sat: 07:30 am-08:00 pm, Sun: 07:30 am-08:00 pm",Boundary Road (Country),486,,,V5M 3Z3
116 - 1090 Lougheed Highway,,,,,Coquitlam,,,V3K 6G9,,,,,49.234637,-122.862858,,(604) 553-3828,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Lougheed,554,,,
Unit 2660 2929 Barnet Hwy,,,,,Coquitlam,,,Canada,,,,,49.278461,-122.798542,,(778) 941-2907,,BC,"Mon: 09:00 am-06:00 pm, Tue: 09:00 am-06:00 pm, Wed: 09:00 am-06:00 pm, Thu: 09:00 am-06:00 pm, Fri: 09:00 am-06:00 pm, Sat: 09:00 am-06:00 pm, Sun: 09:00 am-06:00 pm",Coquitlam Centre (Café),504,,,V3B 5R5
1076 Central City,,,,,Surrey,,,Canada,,,,,49.189999,-122.830000,,(604) 582-2545,,BC,"Mon: 09:00 am-08:00 pm, Tue: 09:00 am-08:00 pm, Wed: 09:00 am-08:00 pm, Thu: 09:00 am-08:00 pm, Fri: 09:00 am-08:00 pm, Sat: 09:00 am-08:00 pm, Sun: 09:00 am-08:00 pm",Central City,496,,,V3T 2W1
