address,address2,adminattributes,attributes,chain_id,city,closed,coming_soon,country,distributor_name,geo_accuracy,hash_primary,hash_secondary,latitude,longitude,other_fields,phone_number,scrape_id,state,store_hours,store_name,store_number,store_type,store_uid,zip_code
"820 State Road 434 North, Suite B",,,,,Altamonte Springs,,,US,,,,,,,,(407) 278-1210,,FL,,Towncare Dental of Altamonte Springs,,,,32714
"1645 East Highway 50, Suite 100",,,,,Clermont,,,US,,,,,,,,(352) 432-1960,,FL,,Towncare Dental of Clermont,,,,34711
1713 West Fairbanks Avenue,,,,,Winter Park,,,US,,,,,,,,(407) 901-4351,,FL,,Towncare Dental of Winter Park,,,,32789
16565 Vanderbilt Drive,,,,,Bonita Springs,,,US,,,,,,,,(239) 494-4720,,FL,,Towncare Dental of Bonita Springs,,,,34134
"1715 Cape Coral Parkway West, Suite 11",,,,,Cape Coral,,,US,,,,,,,,(239) 214-2982,,FL,,Towncare Dental Associates of Cape Coral,,,,33914
"6150 Diamond Center Court, Building 300, Suite 2",,,,,Fort Myers,,,US,,,,,,,,(239) 243-9238,,FL,,Towncare Dental of Ft. Myers,,,,33912
"9132 Strada Place, Suite 11101",,,,,Naples,,,US,,,,,,,,(239) 206-4282,,FL,,Naples Center for Cosmetic Dentistry,,,,34108
4822 Davis Boulevard,,,,,Naples,,,US,,,,,,,,(239) 963-1743,,FL,,Towncare Dental of Naples,,,,34104
3343 NE 33rd Street,,,,,Fort Lauderdale,,,US,,,,,,,,(954) 302-7410,,FL,,Galt Family Dentistry,,,,33308
"3801 Hollywood Blvd., Suite 225",,,,,Hollywood,,,US,,,,,,,,(954) 246-4851,,FL,,Dental Associates of Hollywood,,,,33021
"1601 N Palm Avenue, Suite 104",,,,,Pembroke Pines,,,US,,,,,,,,(954) 417-6146,,FL,,Advanced Dental Care of Pembroke Pines,,,,33026
"600 N Hiatus Road, Suite 103",,,,,Pembroke Pines,,,US,,,,,,,,(954) 719-6278,,FL,,Towncare Dental of Pembroke Pines,,,,33026
314 South University Drive,,,,,Plantation,,,US,,,,,,,,(954) 651-9315,,FL,,Plantation Dental Services,,,,33324
"1776 North Pine Island Road, Suite 300",,,,,Plantation,,,US,,,,,,,,(954) 246-4871,,FL,,Sunrise Dental Group,,,,33322
"660 North State Road 7, Suite 12",,,,,Plantation,,,US,,,,,,,,(954) 519-2224,,FL,,Superior Dental,,,,33317
7030 NW 57th Street,,,,,Tamarac,,,US,,,,,,,,(954) 246-4835,,FL,,G&G Dental Associates,,,,33319
19086 NE 29th Avenue,,,,,Aventura,,,US,,,,,,,,(305) 921-0539,,FL,,Dental Center at Aventura,,,,33180
20533 Old Cutler Road,,,,,Cutler Bay,,,US,,,,,,,,(786) 619-3434,,FL,,Towncare Dental of Cutler Bay,,,,33189
"7150 West 20th Avenue, Suite 102",,,,,Hialeah,,,US,,,,,,,,(305) 921-0481,,FL,,Palm Dental Center,,,,33016
4186 West 12th Avenue,,,,,Hialeah,,,US,,,,,,,,(786) 838-4145,,FL,,Towncare Dental of Hialeah Square,,,,33012
"925 NE 30th Terrace, Suite 118",,,,,Homestead,,,US,,,,,,,,(786) 738-6500,,FL,,Towncare Dental Associates of Homestead,,,,33033
"11400 N. Kendall Dr, Suite 207",,,,,Miami,,,US,,,,,,,,(305) 459-3204,,FL,,Dental Associates of Kendall,,,,33176
"8940 N Kendall Drive, Suite 1005-E",,,,,Miami,,,US,,,,,,,,(305) 921-0511,,FL,,Dental Center at Baptist,,,,33176
"13400 SW 120th Street, Suite 302",,,,,Miami,,,US,,,,,,,,(305) 851-6464,,FL,,Towncare Dental of London Square,,,,33186
"8353 SW 124th Street, Suite 202",,,,,Miami,,,US,,,,,,,,(305) 403-9711,,FL,,Towncare Dental of Pinecrest,,,,33156
15724 SW 72nd Street,,,,,Miami,,,US,,,,,,,,(305) 403-9348,,FL,,Towncare Dental of West Kendall,,,,33193
"333 Arthur Godfrey Road, Suite 818",,,,,Miami Beach,,,US,,,,,,,,(786) 838-4176,,FL,,Miami Beach Dental Center,,,,33140
"3401 North Federal Highway, Suite 101",,,,,Boca Raton,,,US,,,,,,,,(561) 430-2078,,FL,,Towncare Dental of Boca Raton,,,,33431
"175 Toney Penna Drive, Suite 105",,,,,Jupiter,,,US,,,,,,,,(561) 459-1399,,FL,,Jupiter Dental Group,,,,33458
"3027 Forest Hill Boulevard, Suite A3",,,,,West Palm Beach,,,US,,,,,,,,(561) 459-1488,,FL,,Towncare Dental of Forest Hill,,,,33406
