category,category_link,company,company_link,zone
"CHEMICAL RAW MATERIALS,PHARMACEUTICAL & PHARMACEUTICAL PRODUCTS","UFZOnlineDirectory.aspx?cat=CHEMICAL RAW MATERIALS,PHARMACEUTICAL & PHARMACEUTICAL PRODUCTS",AASTRID MIDDLE EAST FZC ,UFZCompanyDetails.aspx?details=9269,SAIF-ZONE
"BUILDING HARDWARE,IRON MONGREY,LOCKS,","UFZOnlineDirectory.aspx?cat=BUILDING HARDWARE,IRON MONGREY,LOCKS,",ABDUL AZIZ & SAAD AL MOAJIL COMPANY,UFZCompanyDetails.aspx?details=6757,JEBEL ALI FREE ZONE
"BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,ACCOUNTANTS & AUDITORS,","UFZOnlineDirectory.aspx?cat=BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,ACCOUNTANTS & AUDITORS,",ABDULHUSAIN & ASSOCIATES CHARTERED ACCOUNTANTS,UFZCompanyDetails.aspx?details=12648,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,ABDULHUSAIN & ASSOCIATES CHARTERED ACCOUNTANTS,UFZCompanyDetails.aspx?details=12683,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,ABU DHABI COMMERCIAL BANK,UFZCompanyDetails.aspx?details=7761,OUTSIDE
"BUILDING & CONSTRUCTION MATERIALS,,,","UFZOnlineDirectory.aspx?cat=BUILDING & CONSTRUCTION MATERIALS,,,",ABU HUMAID TRADING COMPANY L.L.C.,UFZCompanyDetails.aspx?details=17286,
"BUILDING PORTABLE,FIBRE GLASS & PRODUCTS,MANUFACTURERS,PORTA CABINS","UFZOnlineDirectory.aspx?cat=BUILDING PORTABLE,FIBRE GLASS & PRODUCTS,MANUFACTURERS,PORTA CABINS",ACCENT INDUSTRIES FZC,UFZCompanyDetails.aspx?details=6775,HAMRIYAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AHI CARRIER FZC,UFZCompanyDetails.aspx?details=17135,SAIF-ZONE
"AIRCRAFT LEASING & CHARTERING,FLIGHT SUPPORT SERVICES,FREIGHT FORWARDERS,","UFZOnlineDirectory.aspx?cat=AIRCRAFT LEASING & CHARTERING,FLIGHT SUPPORT SERVICES,FREIGHT FORWARDERS,",AIR SPEED CHARTER FZC ,UFZCompanyDetails.aspx?details=622,SAIF-ZONE
"TRAVEL AGENCY,RENT A CAR,,","UFZOnlineDirectory.aspx?cat=TRAVEL AGENCY,RENT A CAR,,",AIRTRAVEL ENTERPRISES,UFZCompanyDetails.aspx?details=17253,OUTSIDE
"ENGINEERING CONSULTANTS,,,","UFZOnlineDirectory.aspx?cat=ENGINEERING CONSULTANTS,,,",AL BARAJEEL ENGINEERING CONSULTANT  ,UFZCompanyDetails.aspx?details=17144,
"FREIGHT FORWARDERS,LOGISTICS,SHIPPING COMPANIES & AGENTS,","UFZOnlineDirectory.aspx?cat=FREIGHT FORWARDERS,LOGISTICS,SHIPPING COMPANIES & AGENTS,",AL BARRAK SHIPPING AGENCY CO. LLC,UFZCompanyDetails.aspx?details=17145,OUTSIDE
"ACCOMMODATION,,HOTEL,BANQUETING","UFZOnlineDirectory.aspx?cat=ACCOMMODATION,,HOTEL,BANQUETING",AL BUSTAN CENTRE & RESIDENCE,UFZCompanyDetails.aspx?details=17155,
"TYPING CENTRES,DOCUMENT MANAGEMENT SERVICES,,","UFZOnlineDirectory.aspx?cat=TYPING CENTRES,DOCUMENT MANAGEMENT SERVICES,,",AL GAZAL BUSINESSMEN SERVICES L.L.C,UFZCompanyDetails.aspx?details=17267,
,UFZOnlineDirectory.aspx?cat=,AL HABTOOR MOTORS,UFZCompanyDetails.aspx?details=2146,OUTSIDE
"LUXURY CARS,,,","UFZOnlineDirectory.aspx?cat=LUXURY CARS,,,",AL KETBI MOTORS,UFZCompanyDetails.aspx?details=17248,
"ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,","UFZOnlineDirectory.aspx?cat=ACCOUNTANTS & AUDITORS,BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,",AL KTTBI & ASSOCIATES CHARTERED ACCOUNTANTS ,UFZCompanyDetails.aspx?details=12519,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,AL MANSOORI ELECTRICAL & PIPE FITTING CONTRACTING LLC,UFZCompanyDetails.aspx?details=17292,OUTSIDE
"TRANSPORT COMPANIES,,,","UFZOnlineDirectory.aspx?cat=TRANSPORT COMPANIES,,,",AL MASHAWEER TRANSPORT,UFZCompanyDetails.aspx?details=17259,
"LUXURY CARS,,,","UFZOnlineDirectory.aspx?cat=LUXURY CARS,,,",AL MIRAGE MOTORS,UFZCompanyDetails.aspx?details=17249,
"INTERIOR DECORATION,INTERIOR DESIGNERS,,","UFZOnlineDirectory.aspx?cat=INTERIOR DECORATION,INTERIOR DESIGNERS,,",AL MOHANAD INTERIORS DESIGN,UFZCompanyDetails.aspx?details=17146,
,UFZOnlineDirectory.aspx?cat=,Al Mubarak FZE,UFZCompanyDetails.aspx?details=4132,RAKIA
"BUILDERS,CONSTRUCTION,CONTRACTING,","UFZOnlineDirectory.aspx?cat=BUILDERS,CONSTRUCTION,CONTRACTING,",AL NOOR CONTRACTING EST,UFZCompanyDetails.aspx?details=12500,OUTSIDE
"TRAVEL SERVICES,,,","UFZOnlineDirectory.aspx?cat=TRAVEL SERVICES,,,",AL ROSTAMANI TRAVEL & HOLIDAYS,UFZCompanyDetails.aspx?details=17191,
"LAWYERS,LEGAL CONSULTANTS,TRADE MARK & PATENTS,","UFZOnlineDirectory.aspx?cat=LAWYERS,LEGAL CONSULTANTS,TRADE MARK & PATENTS,",AL SHARIF ADVOCATES,UFZCompanyDetails.aspx?details=7597,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,,UFZCompanyDetails.aspx?details=17284,
,UFZOnlineDirectory.aspx?cat=,"""GREEN IMAGE"" FZC",UFZCompanyDetails.aspx?details=16075,HAMRIYAH FREE ZONE
"CHEMICAL RAW MATERIALS,PHARMACEUTICAL & PHARMACEUTICAL PRODUCTS","UFZOnlineDirectory.aspx?cat=CHEMICAL RAW MATERIALS,PHARMACEUTICAL & PHARMACEUTICAL PRODUCTS",AASTRID MIDDLE EAST FZC ,UFZCompanyDetails.aspx?details=9269,SAIF-ZONE
"BUILDING HARDWARE,IRON MONGREY,LOCKS,","UFZOnlineDirectory.aspx?cat=BUILDING HARDWARE,IRON MONGREY,LOCKS,",ABDUL AZIZ & SAAD AL MOAJIL COMPANY,UFZCompanyDetails.aspx?details=6757,JEBEL ALI FREE ZONE
"BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,ACCOUNTANTS & AUDITORS,","UFZOnlineDirectory.aspx?cat=BUSINESS CONSULTANTS,CHARTERED ACCOUNTANTS,ACCOUNTANTS & AUDITORS,",ABDULHUSAIN & ASSOCIATES CHARTERED ACCOUNTANTS,UFZCompanyDetails.aspx?details=12648,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,ABDULHUSAIN & ASSOCIATES CHARTERED ACCOUNTANTS,UFZCompanyDetails.aspx?details=12683,OUTSIDE
,UFZOnlineDirectory.aspx?cat=,ABU DHABI COMMERCIAL BANK,UFZCompanyDetails.aspx?details=7761,OUTSIDE
"BUILDING & CONSTRUCTION MATERIALS,,,","UFZOnlineDirectory.aspx?cat=BUILDING & CONSTRUCTION MATERIALS,,,",ABU HUMAID TRADING COMPANY L.L.C.,UFZCompanyDetails.aspx?details=17286,
"BUILDING PORTABLE,FIBRE GLASS & PRODUCTS,MANUFACTURERS,PORTA CABINS","UFZOnlineDirectory.aspx?cat=BUILDING PORTABLE,FIBRE GLASS & PRODUCTS,MANUFACTURERS,PORTA CABINS",ACCENT INDUSTRIES FZC,UFZCompanyDetails.aspx?details=6775,HAMRIYAH FREE ZONE
,UFZOnlineDirectory.aspx?cat=,AHI CARRIER FZC,UFZCompanyDetails.aspx?details=17135,SAIF-ZONE
"AIRCRAFT LEASING & CHARTERING,FLIGHT SUPPORT SERVICES,FREIGHT FORWARDERS,","UFZOnlineDirectory.aspx?cat=AIRCRAFT LEASING & CHARTERING,FLIGHT SUPPORT SERVICES,FREIGHT FORWARDERS,",AIR SPEED CHARTER FZC ,UFZCompanyDetails.aspx?details=622,SAIF-ZONE
"TRAVEL AGENCY,RENT A CAR,,","UFZOnlineDirectory.aspx?cat=TRAVEL AGENCY,RENT A CAR,,",AIRTRAVEL ENTERPRISES,UFZCompanyDetails.aspx?details=17253,OUTSIDE
"ENGINEERING CONSULTANTS,,,","UFZOnlineDirectory.aspx?cat=ENGINEERING CONSULTANTS,,,",AL BARAJEEL ENGINEERING CONSULTANT  ,UFZCompanyDetails.aspx?details=17144,
